,anomes,id_comunidade,id_release_train,id_squad,qtde_historias_totais,soma_leadtime_totais,leadtime_medio,qtde_historias_categ_software,soma_leadtime_categ_software,leadtime_medio_categ_software,qtde_historias_categ_infra,soma_leadtime_categ_infra,leadtime_medio_categ_infra,perc_hist_software,qtde_bugs_totais,qtde_bugs_cancelados,qtde_bugs_corrigidos,perc_bugs_cancelados,perc_bugs_corrigidos,dat_psst,dia_psst,ano_psst
29,202301,C05,RT02,S10,34,247.34,7.27,17,30.89,1.82,0,7.11,0.0,0.5,1,0,0,0.0,0.0,2025-07-14,14,2025
30,202301,C05,RT01,S11,53,529.55,9.99,15,52.42,3.49,5,28.96,5.79,0.283,10,9,7,0.9,0.7,2025-07-14,14,2025
31,202301,C05,RT01,S11,88,88.92,1.01,73,338.51,4.64,8,63.94,7.99,0.83,38,35,34,0.921,0.895,2025-07-14,14,2025
32,202301,C05,RT01,S11,13,75.79,5.83,8,66.65,8.33,1,1.36,1.36,0.615,43,10,8,0.233,0.186,2025-07-14,14,2025
33,202301,C03,RT03,S12,35,113.92,3.25,0,8.9,0.0,17,89.7,5.28,0.0,38,14,12,0.368,0.316,2025-07-14,14,2025
34,202301,C03,RT03,S12,55,464.09,8.44,23,61.43,2.67,12,71.91,5.99,0.418,20,18,8,0.9,0.4,2025-07-14,14,2025
35,202301,C03,RT03,S12,84,639.3,7.61,58,443.39,7.64,14,56.46,4.03,0.69,35,1,15,0.029,0.429,2025-07-14,14,2025
36,202301,C03,RT01,S13,22,186.19,8.46,6,14.21,2.37,5,24.98,5.0,0.273,16,6,13,0.375,0.812,2025-07-14,14,2025
37,202301,C03,RT01,S13,84,726.95,8.65,37,213.5,5.77,44,185.54,4.22,0.44,43,30,33,0.698,0.767,2025-07-14,14,2025
38,202301,C03,RT01,S13,70,537.87,7.68,0,6.81,0.0,69,687.46,9.96,0.0,47,10,42,0.213,0.894,2025-07-14,14,2025
39,202301,C03,RT01,S14,54,139.55,2.58,29,123.99,4.28,15,143.18,9.55,0.537,30,22,14,0.733,0.467,2025-07-14,14,2025
40,202301,C03,RT01,S14,87,800.17,9.2,38,260.1,6.84,16,114.07,7.13,0.437,40,29,8,0.725,0.2,2025-07-14,14,2025
41,202301,C03,RT01,S14,27,69.81,2.59,18,71.33,3.96,8,42.89,5.36,0.667,19,2,11,0.105,0.579,2025-07-14,14,2025
42,202301,C05,RT03,S15,70,437.4,6.25,2,10.55,5.28,54,168.74,3.12,0.029,12,8,10,0.667,0.833,2025-07-14,14,2025
43,202301,C05,RT03,S15,19,187.44,9.87,0,7.88,0.0,15,21.03,1.4,0.0,9,5,9,0.556,1.0,2025-07-14,14,2025
44,202301,C05,RT03,S15,48,184.85,3.85,7,21.47,3.07,14,99.84,7.13,0.146,4,4,4,1.0,1.0,2025-07-14,14,2025
45,202301,C04,RT03,S16,65,331.07,5.09,1,6.43,6.43,57,240.03,4.21,0.015,31,28,30,0.903,0.968,2025-07-14,14,2025
46,202301,C04,RT03,S16,29,171.27,5.91,24,95.54,3.98,1,1.05,1.05,0.828,48,1,2,0.021,0.042,2025-07-14,14,2025
47,202301,C04,RT03,S16,73,172.42,2.36,67,522.06,7.79,3,4.28,1.43,0.918,9,7,7,0.778,0.778,2025-07-14,14,2025
48,202301,C02,RT02,S17,14,73.44,5.25,0,2.63,0.0,3,22.59,7.53,0.0,19,11,6,0.579,0.316,2025-07-14,14,2025
49,202301,C02,RT02,S17,30,271.93,9.06,26,181.85,6.99,4,18.6,4.65,0.867,21,13,11,0.619,0.524,2025-07-14,14,2025
50,202301,C02,RT02,S17,47,417.63,8.89,36,206.95,5.75,11,20.93,1.9,0.766,4,4,0,1.0,0.0,2025-07-14,14,2025
51,202301,C01,RT02,S18,64,634.71,9.92,37,180.65,4.88,4,27.1,6.78,0.578,40,27,37,0.675,0.925,2025-07-14,14,2025
52,202301,C01,RT02,S18,73,251.74,3.45,53,522.87,9.87,2,2.13,1.06,0.726,4,0,4,0.0,1.0,2025-07-14,14,2025
53,202301,C01,RT02,S18,54,473.0,8.76,25,103.15,4.13,6,54.32,9.05,0.463,33,10,22,0.303,0.667,2025-07-14,14,2025
54,202301,C04,RT02,S19,64,130.24,2.04,16,97.2,6.08,46,330.91,7.19,0.25,7,2,4,0.286,0.571,2025-07-14,14,2025
55,202301,C04,RT02,S19,96,886.22,9.23,71,684.95,9.65,25,27.0,1.08,0.74,6,1,3,0.167,0.5,2025-07-14,14,2025
56,202301,C04,RT02,S19,32,80.51,2.52,30,244.25,8.14,1,5.88,5.88,0.938,1,1,1,1.0,1.0,2025-07-14,14,2025
57,202301,C04,RT02,S20,61,565.9,9.28,48,318.54,6.64,6,43.05,7.17,0.787,1,0,0,0.0,0.0,2025-07-14,14,2025
58,202301,C04,RT02,S20,32,294.9,9.22,15,42.58,2.84,0,9.05,0.0,0.469,7,0,0,0.0,0.0,2025-07-14,14,2025
59,202301,C04,RT02,S20,99,206.02,2.08,6,30.39,5.07,62,313.28,5.05,0.061,41,37,20,0.902,0.488,2025-07-14,14,2025
60,202302,C03,RT03,S01,21,156.57,7.46,19,121.4,6.39,1,2.32,2.32,0.905,8,8,1,1.0,0.125,2025-07-14,14,2025
61,202302,C03,RT03,S01,13,31.82,2.45,9,56.36,6.26,1,5.48,5.48,0.692,50,5,42,0.1,0.84,2025-07-14,14,2025
62,202302,C03,RT03,S01,93,598.08,6.43,76,97.38,1.28,8,61.03,7.63,0.817,5,0,2,0.0,0.4,2025-07-14,14,2025
63,202302,C05,RT02,S02,32,165.63,5.18,27,38.09,1.41,4,5.66,1.42,0.844,14,1,7,0.071,0.5,2025-07-14,14,2025
64,202302,C05,RT02,S02,70,400.64,5.72,50,215.52,4.31,7,33.3,4.76,0.714,43,10,22,0.233,0.512,2025-07-14,14,2025
65,202302,C05,RT02,S02,61,505.41,8.29,0,4.09,0.0,60,221.32,3.69,0.0,26,16,23,0.615,0.885,2025-07-14,14,2025
66,202302,C03,RT03,S03,81,451.05,5.57,21,172.29,8.2,34,153.13,4.5,0.259,23,22,10,0.957,0.435,2025-07-14,14,2025
67,202302,C03,RT03,S03,36,335.79,9.33,8,12.1,1.51,25,177.74,7.11,0.222,22,0,1,0.0,0.045,2025-07-14,14,2025
68,202302,C03,RT03,S03,100,867.99,8.68,67,644.12,9.61,6,34.21,5.7,0.67,21,21,17,1.0,0.81,2025-07-14,14,2025
69,202302,C05,RT03,S04,20,105.05,5.25,18,81.15,4.51,1,9.54,9.54,0.9,28,10,4,0.357,0.143,2025-07-14,14,2025
70,202302,C05,RT03,S04,39,61.52,1.58,35,50.71,1.45,1,8.69,8.69,0.897,3,0,0,0.0,0.0,2025-07-14,14,2025
71,202302,C05,RT03,S04,34,231.15,6.8,19,73.41,3.86,2,19.54,9.77,0.559,23,1,16,0.043,0.696,2025-07-14,14,2025
72,202302,C04,RT03,S05,100,430.8,4.31,51,422.4,8.28,11,97.1,8.83,0.51,34,25,5,0.735,0.147,2025-07-14,14,2025
73,202302,C04,RT03,S05,77,504.63,6.55,4,36.0,9.0,8,72.05,9.01,0.052,37,16,5,0.432,0.135,2025-07-14,14,2025
74,202302,C04,RT03,S05,44,148.96,3.39,34,270.36,7.95,8,72.6,9.07,0.773,1,0,1,0.0,1.0,2025-07-14,14,2025
75,202302,C03,RT01,S06,96,465.19,4.85,16,62.35,3.9,4,30.57,7.64,0.167,24,13,12,0.542,0.5,2025-07-14,14,2025
76,202302,C03,RT01,S06,95,795.06,8.37,78,641.45,8.22,11,73.93,6.72,0.821,18,6,4,0.333,0.222,2025-07-14,14,2025
77,202302,C03,RT01,S06,56,314.19,5.61,49,480.98,9.82,0,8.61,0.0,0.875,12,5,0,0.417,0.0,2025-07-14,14,2025
78,202302,C01,RT03,S07,90,619.59,6.88,1,5.38,5.38,73,622.3,8.52,0.011,3,1,3,0.333,1.0,2025-07-14,14,2025
79,202302,C01,RT03,S07,40,236.89,5.92,14,19.71,1.41,17,162.05,9.53,0.35,27,13,1,0.481,0.037,2025-07-14,14,2025
80,202302,C01,RT03,S07,46,336.68,7.32,17,94.21,5.54,24,70.98,2.96,0.37,48,48,25,1.0,0.521,2025-07-14,14,2025
81,202302,C05,RT02,S08,53,190.19,3.59,41,49.72,1.21,11,106.08,9.64,0.774,35,5,26,0.143,0.743,2025-07-14,14,2025
82,202302,C05,RT02,S08,40,303.08,7.58,21,76.3,3.63,10,94.47,9.45,0.525,50,47,7,0.94,0.14,2025-07-14,14,2025
83,202302,C05,RT02,S08,39,245.93,6.31,3,8.93,2.98,26,81.39,3.13,0.077,4,4,3,1.0,0.75,2025-07-14,14,2025
84,202302,C01,RT02,S09,90,720.81,8.01,13,65.66,5.05,40,79.08,1.98,0.144,2,0,1,0.0,0.5,2025-07-14,14,2025
85,202302,C01,RT02,S09,82,328.08,4.0,19,163.55,8.61,31,270.41,8.72,0.232,44,15,18,0.341,0.409,2025-07-14,14,2025
86,202302,C01,RT02,S09,35,221.83,6.34,7,43.01,6.14,11,55.9,5.08,0.2,44,21,38,0.477,0.864,2025-07-14,14,2025
87,202302,C02,RT01,S10,24,187.88,7.83,18,82.7,4.59,6,35.37,5.89,0.75,16,10,9,0.625,0.562,2025-07-14,14,2025
88,202302,C02,RT01,S10,10,79.82,7.98,0,2.8,0.0,1,1.55,1.55,0.0,13,0,13,0.0,1.0,2025-07-14,14,2025
89,202302,C02,RT01,S10,37,115.21,3.11,4,29.06,7.26,1,9.32,9.32,0.108,30,11,18,0.367,0.6,2025-07-14,14,2025
90,202302,C02,RT02,S11,96,662.99,6.91,22,175.84,7.99,16,78.55,4.91,0.229,7,3,1,0.429,0.143,2025-07-14,14,2025
91,202302,C02,RT02,S11,69,455.39,6.6,53,246.45,4.65,11,26.99,2.45,0.768,34,25,6,0.735,0.176,2025-07-14,14,2025
92,202302,C02,RT02,S11,13,29.14,2.24,6,56.8,9.47,6,26.16,4.36,0.462,13,5,11,0.385,0.846,2025-07-14,14,2025
93,202302,C02,RT01,S12,96,563.03,5.86,90,368.72,4.1,3,15.23,5.08,0.938,25,16,15,0.64,0.6,2025-07-14,14,2025
94,202302,C02,RT01,S12,56,348.99,6.23,19,63.61,3.35,37,144.06,3.89,0.339,47,32,43,0.681,0.915,2025-07-14,14,2025
95,202302,C02,RT01,S12,93,834.47,8.97,45,193.71,4.3,33,274.95,8.33,0.484,16,2,3,0.125,0.188,2025-07-14,14,2025
96,202302,C05,RT03,S13,81,691.79,8.54,60,544.16,9.07,0,6.23,0.0,0.741,20,19,3,0.95,0.15,2025-07-14,14,2025
97,202302,C05,RT03,S13,91,744.29,8.18,6,29.35,4.89,85,831.7,9.78,0.066,29,0,28,0.0,0.966,2025-07-14,14,2025
98,202302,C05,RT03,S13,93,673.93,7.25,33,174.67,5.29,36,170.31,4.73,0.355,27,17,26,0.63,0.963,2025-07-14,14,2025
99,202302,C01,RT02,S14,27,46.79,1.73,13,115.69,8.9,14,82.23,5.87,0.481,45,11,8,0.244,0.178,2025-07-14,14,2025
100,202302,C01,RT02,S14,36,275.12,7.64,6,48.68,8.11,13,69.28,5.33,0.167,17,6,2,0.353,0.118,2025-07-14,14,2025
101,202302,C01,RT02,S14,19,30.88,1.63,18,167.14,9.29,1,4.16,4.16,0.947,26,22,19,0.846,0.731,2025-07-14,14,2025
102,202302,C02,RT01,S15,27,84.46,3.13,7,48.78,6.97,15,81.26,5.42,0.259,21,4,3,0.19,0.143,2025-07-14,14,2025
103,202302,C02,RT01,S15,70,350.0,5.0,26,157.85,6.07,37,122.29,3.31,0.371,13,13,9,1.0,0.692,2025-07-14,14,2025
104,202302,C02,RT01,S15,44,293.93,6.68,0,1.33,0.0,14,43.79,3.13,0.0,32,13,4,0.406,0.125,2025-07-14,14,2025
105,202302,C04,RT01,S16,98,101.83,1.04,21,90.2,4.3,31,302.98,9.77,0.214,11,7,11,0.636,1.0,2025-07-14,14,2025
106,202302,C04,RT01,S16,94,781.26,8.31,42,192.75,4.59,46,147.3,3.2,0.447,45,16,18,0.356,0.4,2025-07-14,14,2025
107,202302,C04,RT01,S16,49,120.63,2.46,10,52.48,5.25,8,75.25,9.41,0.204,1,1,0,1.0,0.0,2025-07-14,14,2025
108,202302,C01,RT02,S17,54,227.91,4.22,44,82.0,1.86,10,52.22,5.22,0.815,1,1,0,1.0,0.0,2025-07-14,14,2025
109,202302,C01,RT02,S17,91,751.78,8.26,45,261.07,5.8,34,205.94,6.06,0.495,48,36,43,0.75,0.896,2025-07-14,14,2025
110,202302,C01,RT02,S17,64,572.53,8.95,50,173.85,3.48,9,86.87,9.65,0.781,37,18,26,0.486,0.703,2025-07-14,14,2025
111,202302,C04,RT01,S18,84,311.54,3.71,18,81.86,4.55,33,314.39,9.53,0.214,12,4,11,0.333,0.917,2025-07-14,14,2025
112,202302,C04,RT01,S18,92,297.46,3.23,54,294.04,5.45,38,193.9,5.1,0.587,32,11,18,0.344,0.562,2025-07-14,14,2025
113,202302,C04,RT01,S18,96,399.09,4.16,96,187.53,1.95,0,8.3,0.0,1.0,18,16,4,0.889,0.222,2025-07-14,14,2025
114,202302,C02,RT03,S19,94,187.25,1.99,43,104.43,2.43,37,272.17,7.36,0.457,48,25,24,0.521,0.5,2025-07-14,14,2025
115,202302,C02,RT03,S19,70,88.21,1.26,24,118.77,4.95,17,39.97,2.35,0.343,5,4,2,0.8,0.4,2025-07-14,14,2025
116,202302,C02,RT03,S19,77,507.35,6.59,66,395.6,5.99,2,11.83,5.92,0.857,34,8,33,0.235,0.971,2025-07-14,14,2025
117,202302,C01,RT03,S20,22,154.14,7.01,16,135.06,8.44,4,8.19,2.05,0.727,18,3,18,0.167,1.0,2025-07-14,14,2025
118,202302,C01,RT03,S20,16,106.52,6.66,2,19.79,9.89,3,4.06,1.35,0.125,24,5,13,0.208,0.542,2025-07-14,14,2025
119,202302,C01,RT03,S20,84,276.85,3.3,25,169.02,6.76,46,53.43,1.16,0.298,10,5,5,0.5,0.5,2025-07-14,14,2025
120,202303,C01,RT01,S01,25,117.44,4.7,0,5.99,0.0,24,37.75,1.57,0.0,41,17,1,0.415,0.024,2025-07-14,14,2025
121,202303,C01,RT01,S01,30,75.8,2.53,7,22.44,3.21,8,50.49,6.31,0.233,33,29,9,0.879,0.273,2025-07-14,14,2025
122,202303,C01,RT01,S01,98,550.71,5.62,57,209.89,3.68,14,72.05,5.15,0.582,8,3,6,0.375,0.75,2025-07-14,14,2025
123,202303,C02,RT02,S02,12,88.17,7.35,11,13.11,1.19,1,5.25,5.25,0.917,13,7,3,0.538,0.231,2025-07-14,14,2025
124,202303,C02,RT02,S02,100,121.72,1.22,22,188.01,8.55,51,229.72,4.5,0.22,48,34,48,0.708,1.0,2025-07-14,14,2025
125,202303,C02,RT02,S02,92,317.42,3.45,39,81.46,2.09,37,212.46,5.74,0.424,16,8,10,0.5,0.625,2025-07-14,14,2025
126,202303,C03,RT01,S03,88,524.68,5.96,56,275.46,4.92,20,121.7,6.08,0.636,46,7,23,0.152,0.5,2025-07-14,14,2025
127,202303,C03,RT01,S03,12,29.4,2.45,1,6.83,6.83,7,49.67,7.1,0.083,41,38,36,0.927,0.878,2025-07-14,14,2025
128,202303,C03,RT01,S03,40,249.31,6.23,31,221.49,7.14,8,48.32,6.04,0.775,30,11,14,0.367,0.467,2025-07-14,14,2025
129,202303,C02,RT03,S04,12,31.17,2.6,4,19.76,4.94,6,43.69,7.28,0.333,18,2,2,0.111,0.111,2025-07-14,14,2025
130,202303,C02,RT03,S04,33,267.2,8.1,2,17.64,8.82,14,54.01,3.86,0.061,16,7,13,0.438,0.812,2025-07-14,14,2025
131,202303,C02,RT03,S04,38,280.33,7.38,16,140.46,8.78,3,13.28,4.43,0.421,8,0,7,0.0,0.875,2025-07-14,14,2025
132,202303,C03,RT02,S05,48,229.72,4.79,33,210.74,6.39,10,38.33,3.83,0.688,2,0,0,0.0,0.0,2025-07-14,14,2025
133,202303,C03,RT02,S05,79,777.72,9.84,75,329.46,4.39,0,1.94,0.0,0.949,17,3,16,0.176,0.941,2025-07-14,14,2025
134,202303,C03,RT02,S05,53,456.96,8.62,45,75.48,1.68,3,12.59,4.2,0.849,41,26,22,0.634,0.537,2025-07-14,14,2025
135,202303,C02,RT02,S06,82,134.08,1.64,36,290.3,8.06,10,83.37,8.34,0.439,47,1,34,0.021,0.723,2025-07-14,14,2025
136,202303,C02,RT02,S06,89,623.08,7.0,9,45.54,5.06,19,131.95,6.94,0.101,38,22,36,0.579,0.947,2025-07-14,14,2025
137,202303,C02,RT02,S06,77,752.95,9.78,11,18.79,1.71,23,88.28,3.84,0.143,29,29,15,1.0,0.517,2025-07-14,14,2025
138,202303,C01,RT03,S07,59,374.03,6.34,48,384.26,8.01,3,4.37,1.46,0.814,3,2,1,0.667,0.333,2025-07-14,14,2025
139,202303,C01,RT03,S07,52,102.44,1.97,23,53.22,2.31,14,133.52,9.54,0.442,7,2,5,0.286,0.714,2025-07-14,14,2025
140,202303,C01,RT03,S07,31,165.0,5.32,7,66.28,9.47,20,27.21,1.36,0.226,26,6,25,0.231,0.962,2025-07-14,14,2025
141,202303,C01,RT03,S08,63,290.61,4.61,56,248.89,4.44,3,28.3,9.43,0.889,4,3,2,0.75,0.5,2025-07-14,14,2025
142,202303,C01,RT03,S08,50,165.85,3.32,23,123.18,5.36,16,77.65,4.85,0.46,46,15,20,0.326,0.435,2025-07-14,14,2025
143,202303,C01,RT03,S08,38,50.04,1.32,6,10.94,1.82,14,83.77,5.98,0.158,43,15,34,0.349,0.791,2025-07-14,14,2025
144,202303,C02,RT03,S09,77,260.08,3.38,45,136.89,3.04,17,49.57,2.92,0.584,17,13,0,0.765,0.0,2025-07-14,14,2025
145,202303,C02,RT03,S09,40,363.2,9.08,37,133.94,3.62,0,3.74,0.0,0.925,22,15,5,0.682,0.227,2025-07-14,14,2025
146,202303,C02,RT03,S09,33,159.35,4.83,18,46.43,2.58,8,18.17,2.27,0.545,23,6,7,0.261,0.304,2025-07-14,14,2025
147,202303,C05,RT01,S10,39,280.19,7.18,21,175.0,8.33,17,162.62,9.57,0.538,24,19,10,0.792,0.417,2025-07-14,14,2025
148,202303,C05,RT01,S10,19,49.34,2.6,9,70.81,7.87,2,10.66,5.33,0.474,28,20,17,0.714,0.607,2025-07-14,14,2025
149,202303,C05,RT01,S10,55,219.58,3.99,51,370.57,7.27,4,39.64,9.91,0.927,7,5,0,0.714,0.0,2025-07-14,14,2025
150,202303,C01,RT03,S11,76,86.76,1.14,53,276.42,5.22,1,4.82,4.82,0.697,22,8,6,0.364,0.273,2025-07-14,14,2025
151,202303,C01,RT03,S11,71,365.08,5.14,66,82.84,1.26,0,4.63,0.0,0.93,1,0,0,0.0,0.0,2025-07-14,14,2025
152,202303,C01,RT03,S11,27,79.49,2.94,15,53.78,3.59,8,60.35,7.54,0.556,43,13,1,0.302,0.023,2025-07-14,14,2025
153,202303,C05,RT02,S12,12,114.19,9.52,12,41.78,3.48,0,9.41,0.0,1.0,45,20,13,0.444,0.289,2025-07-14,14,2025
154,202303,C05,RT02,S12,43,159.57,3.71,19,20.58,1.08,24,138.57,5.77,0.442,13,10,6,0.769,0.462,2025-07-14,14,2025
155,202303,C05,RT02,S12,30,47.09,1.57,10,54.17,5.42,4,38.79,9.7,0.333,45,39,41,0.867,0.911,2025-07-14,14,2025
156,202303,C03,RT01,S13,49,62.37,1.27,43,148.97,3.46,5,29.16,5.83,0.878,31,6,8,0.194,0.258,2025-07-14,14,2025
157,202303,C03,RT01,S13,57,260.14,4.56,46,147.65,3.21,2,14.86,7.43,0.807,44,17,26,0.386,0.591,2025-07-14,14,2025
158,202303,C03,RT01,S13,54,90.2,1.67,23,171.18,7.44,27,201.22,7.45,0.426,40,35,11,0.875,0.275,2025-07-14,14,2025
159,202303,C04,RT01,S14,51,413.04,8.1,20,20.67,1.03,3,28.61,9.54,0.392,10,8,4,0.8,0.4,2025-07-14,14,2025
160,202303,C04,RT01,S14,85,594.34,6.99,60,497.55,8.29,23,207.5,9.02,0.706,44,17,11,0.386,0.25,2025-07-14,14,2025
161,202303,C04,RT01,S14,68,462.79,6.81,41,245.3,5.98,17,70.09,4.12,0.603,2,2,0,1.0,0.0,2025-07-14,14,2025
162,202303,C02,RT01,S15,67,470.53,7.02,44,439.46,9.99,4,16.58,4.14,0.657,32,29,13,0.906,0.406,2025-07-14,14,2025
163,202303,C02,RT01,S15,97,223.68,2.31,28,147.06,5.25,20,101.76,5.09,0.289,43,1,1,0.023,0.023,2025-07-14,14,2025
164,202303,C02,RT01,S15,76,123.7,1.63,24,66.06,2.75,23,72.44,3.15,0.316,7,3,3,0.429,0.429,2025-07-14,14,2025
165,202303,C03,RT03,S16,71,440.7,6.21,52,208.69,4.01,15,95.34,6.36,0.732,20,3,1,0.15,0.05,2025-07-14,14,2025
166,202303,C03,RT03,S16,64,227.26,3.55,37,350.67,9.48,3,24.68,8.23,0.578,25,21,1,0.84,0.04,2025-07-14,14,2025
167,202303,C03,RT03,S16,35,299.83,8.57,23,71.55,3.11,0,2.96,0.0,0.657,33,32,9,0.97,0.273,2025-07-14,14,2025
168,202303,C04,RT03,S17,70,154.43,2.21,56,180.97,3.23,1,5.82,5.82,0.8,40,16,12,0.4,0.3,2025-07-14,14,2025
169,202303,C04,RT03,S17,41,51.82,1.26,6,17.2,2.87,16,141.24,8.83,0.146,33,8,22,0.242,0.667,2025-07-14,14,2025
170,202303,C04,RT03,S17,32,66.12,2.07,32,248.62,7.77,0,6.5,0.0,1.0,23,4,4,0.174,0.174,2025-07-14,14,2025
171,202303,C02,RT01,S18,69,399.08,5.78,31,102.43,3.3,25,81.86,3.27,0.449,5,2,4,0.4,0.8,2025-07-14,14,2025
172,202303,C02,RT01,S18,81,680.03,8.4,61,517.55,8.48,1,3.15,3.15,0.753,50,49,22,0.98,0.44,2025-07-14,14,2025
173,202303,C02,RT01,S18,70,157.44,2.25,29,248.9,8.58,12,82.5,6.88,0.414,26,15,8,0.577,0.308,2025-07-14,14,2025
174,202303,C01,RT03,S19,28,167.36,5.98,17,111.82,6.58,3,11.71,3.9,0.607,8,6,8,0.75,1.0,2025-07-14,14,2025
175,202303,C01,RT03,S19,70,134.77,1.93,15,148.33,9.89,37,95.51,2.58,0.214,36,1,4,0.028,0.111,2025-07-14,14,2025
176,202303,C01,RT03,S19,60,409.25,6.82,38,74.1,1.95,18,129.29,7.18,0.633,43,31,12,0.721,0.279,2025-07-14,14,2025
177,202303,C03,RT02,S20,40,100.79,2.52,1,9.38,9.38,12,58.45,4.87,0.025,31,9,20,0.29,0.645,2025-07-14,14,2025
178,202303,C03,RT02,S20,94,831.28,8.84,83,86.42,1.04,8,57.13,7.14,0.883,8,0,4,0.0,0.5,2025-07-14,14,2025
179,202303,C03,RT02,S20,13,77.65,5.97,8,38.53,4.82,4,36.16,9.04,0.615,36,36,24,1.0,0.667,2025-07-14,14,2025
